TendenciaAnterior,Sube,Baja,Volumen
-0.004624307,0,1,151
-0.004574597,1,0,104
-0.004415155,0,1,87
-0.004377842,1,0,138
-0.004357338,1,0,77
-0.004289985,0,1,191
-0.004218578,0,1,136
-0.004165292,1,0,175
-0.004100919,1,0,146
-0.004077733,0,1,146
-0.004074454,0,1,90
-0.004042506,1,0,51
-0.004015207,0,1,143
-0.003991723,0,1,213
-0.003989816,0,1,138
-0.003911376,0,1,211
-0.003774226,1,0,165
-0.003722787,1,0,57
-0.003695428,0,1,109
-0.003617585,0,1,227
-0.003596902,1,0,87
-0.003591716,0,1,123
-0.003558159,0,1,226
-0.003483653,1,0,89
-0.003374934,0,1,118
-0.003265798,1,0,119
-0.003245115,0,1,59
-0.003175378,1,0,69
-0.003104389,1,0,65
-0.003095746,0,1,271
-0.003061771,0,1,187
-0.003038585,0,1,75
-0.003032327,0,1,110
-0.002902985,1,0,194
-0.00290072,0,1,57
-0.002899945,0,1,91
-0.002754629,0,1,79
-0.002521575,1,0,15
-0.00245893,1,0,148
-0.002365232,0,1,85
-0.002358794,0,1,209
-0.002342701,0,1,81
-0.002272904,0,1,143
-0.002203584,1,0,127
-0.002058625,1,0,166
-0.002057552,0,1,143
-0.002010346,0,1,252
-0.001997888,0,1,88
-0.001966298,1,0,89
-0.001748681,1,0,96
-0.001568198,0,1,379
-0.00149256,0,1,251
-0.001477659,0,1,84
-0.001467407,0,1,196
-0.001320839,0,1,36
-0.001281381,0,1,96
-0.001261234,0,1,111
-0.00120163,0,1,84
-0.001149535,1,0,39
-0.001103103,1,0,26
-0.001093566,0,1,101
-0.001015365,1,0,217
-0.000856519,0,1,123
-0.000820756,0,1,157
-0.000812054,0,1,139
-0.000767708,0,1,80
-0.000758469,1,0,121
-0.000728846,1,0,55
-0.000702918,1,0,75
-0.000586748,1,0,22
-0.00055933,1,0,46
-0.000523269,0,1,108
-0.000518084,0,1,114
-0.000463903,0,1,160
-0.000460207,0,1,68
-0.000436962,1,0,57
-0.000401914,1,0,139
-0.000316262,1,0,58
-0.000287056,0,1,394
-0.00022915,1,0,248
-0.000166535,0,1,143
-0.000103474,0,1,64
-2.56E-06,0,1,70
2.86E-06,1,0,124
0.000155985,0,1,237
0.000240982,0,1,185
0.000284314,0,1,94
0.000344813,1,0,102
0.000400543,1,0,25
0.000499964,1,0,64
0.000509143,1,0,163
0.000633955,1,0,240
0.000853598,1,0,226
0.000925779,0,1,88
0.000974953,1,0,46
0.000986338,1,0,91
0.001098871,0,1,57
0.001237929,1,0,70
0.001258135,1,0,133
0.001476765,1,0,116
0.001557589,0,1,65
0.001572609,0,1,54
0.001618981,0,1,37
0.001619399,1,0,106
0.001734644,1,0,181
0.001760602,0,1,44
0.00177753,0,1,139
0.001793623,1,0,119
0.00183636,0,1,143
0.00188148,0,1,86
0.002177894,0,1,306
0.002252638,0,1,104
0.002378404,1,0,77
0.002509058,1,0,37
0.002532244,0,1,91
0.00258708,0,1,67
0.0026384,1,0,172
0.002655447,0,1,160
0.002700031,0,1,298
0.002712727,0,1,130
0.002714872,0,1,114
0.002744436,0,1,52
0.002777875,1,0,183
0.002923489,0,1,107
0.00293529,0,1,81
0.003001213,0,1,98
0.003074348,0,1,142
0.003178179,0,1,27
0.003302008,1,0,326
0.003324211,0,1,161
0.003387928,1,0,140
0.003435493,0,1,61
0.00354135,1,0,124
0.003632307,1,0,210
0.003803849,1,0,126
0.003861845,1,0,51
0.003898799,0,1,131
0.003958106,1,0,144
0.003981471,0,1,69
0.00407356,1,0,156
0.004088998,0,1,278
0.004116297,1,0,38
0.004121125,0,1,44
0.004720271,0,1,116
0.004778564,1,0,130
0.00487417,0,1,146
0.00496769,1,0,146
0.004999042,0,1,88
0.005084157,0,1,39
0.005108595,0,1,139
0.00524497,0,1,157
0.005254448,1,0,161
0.005262792,0,1,63
0.005295336,1,0,84
0.005337834,0,1,162
0.005352855,0,1,210
0.00549072,0,1,148
0.005491257,0,1,61
0.005502403,1,0,114
0.005550087,0,1,89
0.00565958,1,0,64
0.005696237,0,1,154
0.005789578,0,1,193
0.005851686,1,0,192
0.005910039,1,0,216
0.005917966,0,1,260
0.005937874,1,0,166
0.005973101,1,0,314
0.006006479,0,1,137
0.006012023,0,1,36
0.006157816,1,0,161
0.006236076,0,1,118
0.006302238,1,0,196
0.006424308,0,1,89
0.006562471,0,1,52
0.006565988,1,0,28
0.006611228,0,1,189
0.006645262,1,0,97
0.00667876,0,1,181
0.006683826,1,0,86
0.006686628,1,0,184
0.00669533,0,1,152
0.006725431,0,1,55
0.006758809,1,0,88
0.006761193,1,0,129
0.00682044,0,1,148
0.006943584,1,0,121
0.007083178,1,0,129
0.007175922,0,1,254
0.007212222,1,0,133
0.007213116,0,1,114
0.007214904,1,0,183
0.007222354,1,0,56
0.007275403,1,0,67
0.007286668,0,1,212
0.007339597,1,0,124
0.007369757,0,1,89
0.007448912,1,0,137
0.007458508,0,1,248
0.007531047,1,0,49
0.007533789,1,0,193
0.007537723,0,1,155
0.007795095,0,1,127
0.007798672,1,0,163
0.00785017,1,0,138
0.007914305,1,0,58
0.00793618,1,0,130
0.00812453,1,0,175
0.008167565,0,1,191
0.008255959,1,0,79
0.008264899,0,1,58
0.008295774,0,1,150
0.008344054,0,1,186
0.008362293,0,1,97
0.008534789,0,1,121
0.008682549,1,0,208
0.008840859,1,0,75
0.008877337,1,0,129
0.008923888,1,0,136
0.008924961,0,1,116
0.008964658,1,0,67
0.009090304,0,1,53
0.00913614,1,0,92
0.00918138,0,1,113
0.009284496,1,0,79
0.009339035,1,0,130
0.009402871,0,1,135
0.009567022,1,0,57
0.009714901,0,1,67
0.009914041,0,1,116
0.009926856,0,1,150
0.010060549,1,0,154
0.010063291,1,0,62
0.010081828,1,0,92
0.0101946,0,1,37
0.010312557,1,0,13
0.010465205,0,1,105
0.010686815,0,1,128
0.010731339,0,1,84
0.010733664,0,1,49
0.010762692,1,0,29
0.010770679,0,1,47
0.010814905,1,0,176
0.010837972,1,0,12
0.010852218,0,1,192
0.01097244,0,1,279
0.011050344,0,1,163
0.011076361,0,1,380
0.011122763,0,1,148
0.011344463,1,0,268
0.011350811,0,1,84
0.011363566,0,1,95
0.011369765,1,0,155
0.011385679,1,0,111
0.011514604,1,0,71
0.011576235,1,0,92
0.011641085,0,1,67
0.011672974,1,0,43
0.011688232,0,1,359
0.011782825,0,1,56
0.011820078,1,0,52
0.011828423,1,0,116
0.011933923,0,1,140
0.012040496,0,1,27
0.012041807,1,0,130
0.012080312,1,0,40
0.012107611,1,0,86
0.012294769,0,1,104
0.012383223,1,0,123
0.012464464,0,1,22
0.012537181,1,0,103
0.012673378,0,1,103
0.012674332,1,0,184
0.012891531,0,1,76
0.012949705,1,0,218
0.013204038,1,0,139
0.013390839,1,0,121
0.013524354,0,1,124
0.013548255,1,0,155
0.013564348,0,1,163
0.013637841,0,1,132
0.013848245,1,0,134
0.013932169,1,0,95
0.013999105,0,1,48
0.01406008,0,1,96
0.01407516,0,1,146
0.014087617,1,0,33
0.014092445,0,1,127
0.014247298,1,0,73
0.014249861,1,0,120
0.014305472,0,1,208
0.014332056,0,1,137
0.014390886,0,1,222
0.014445066,0,1,77
0.014494836,0,1,171
0.014846027,1,0,108
0.014895499,1,0,110
0.014906645,1,0,14
0.014958158,1,0,326
0.015025735,1,0,194
0.015088797,0,1,132
0.015120447,1,0,30
0.015143156,0,1,112
0.015233696,1,0,93
0.015442848,1,0,154
0.015458584,0,1,63
0.0155164,1,0,278
0.015670061,0,1,53
0.015720963,0,1,102
0.015730023,0,1,139
0.015802324,0,1,176
0.015854299,1,0,237
0.016037643,1,0,110
0.016082168,1,0,207
0.016343176,0,1,169
0.016437411,0,1,114
0.016439259,0,1,97
0.01647389,1,0,54
0.016573727,1,0,172
0.016606033,0,1,122
0.016759872,1,0,43
0.016762435,1,0,54
0.016776264,0,1,137
0.016888797,0,1,60
0.016921103,1,0,229
0.017023861,0,1,95
0.017254174,0,1,159
0.017326593,1,0,37
0.017338932,0,1,176
0.017368615,0,1,111
0.017387033,0,1,124
0.017522037,0,1,98
0.017586589,1,0,123
0.017594814,1,0,67
0.017668724,0,1,190
0.017749727,0,1,35
0.01780945,1,0,123
0.017948687,0,1,115
0.017971635,1,0,257
0.01799202,1,0,77
0.018256783,0,1,90
0.01833272,0,1,198
0.018404365,1,0,87
0.018469155,0,1,66
0.01852429,1,0,141
0.018642128,0,1,210
0.018812418,0,1,101
0.018823683,1,0,68
0.018850207,1,0,111
0.018953621,0,1,214
0.018957496,1,0,79
0.019013166,0,1,121
0.01909411,0,1,144
0.019106328,1,0,88
0.019367695,0,1,137
0.0194062,0,1,135
0.019420922,0,1,288
0.019517541,0,1,87
0.01970011,1,0,126
0.019760966,1,0,149
0.019818604,1,0,103
0.01981926,0,1,88
0.019835353,0,1,122
0.019876182,1,0,121
0.019931555,0,1,166
0.020046711,1,0,124
0.020056129,0,1,89
0.020061135,1,0,129
0.0202775,0,1,159
0.020307064,0,1,143
0.020324051,0,1,116
0.020580292,0,1,84
0.020629704,0,1,89
0.020716012,1,0,155
0.020895034,0,1,94
0.021044135,1,0,138
0.02110815,1,0,195
0.021311998,0,1,141
0.0214082,0,1,123
0.021470845,1,0,97
0.021486998,0,1,73
0.021493077,1,0,218
0.021518275,1,0,151
0.021659553,0,1,168
0.021665096,0,1,104
0.02168274,0,1,173
0.02177906,0,1,78
0.02184087,0,1,111
0.021945417,1,0,39
