Date,Open,High,Low,Close,Volume,Ask
2020.06.29 09:40,0.68851,0.68859,0.68806,0.68814,161,0
2020.06.29 09:45,0.68816,0.68826,0.68807,0.68813,130,0
2020.06.29 09:50,0.68813,0.68852,0.68810,0.68849,167,0
2020.06.29 09:55,0.68849,0.68872,0.68822,0.68826,239,0
2020.06.29 10:00,0.68834,0.68869,0.68806,0.68809,402,0
2020.06.29 10:05,0.68806,0.68848,0.68801,0.68836,277,0
2020.06.29 10:10,0.68837,0.68861,0.68826,0.68838,280,0
2020.06.29 10:15,0.68838,0.68872,0.68828,0.68840,295,0
2020.06.29 10:20,0.68841,0.68879,0.68836,0.68871,289,0
2020.06.29 10:25,0.68871,0.68884,0.68840,0.68850,226,0
2020.06.29 10:30,0.68852,0.68866,0.68830,0.68839,224,0
2020.06.29 10:35,0.68840,0.68846,0.68791,0.68791,206,0
2020.06.29 10:40,0.68791,0.68797,0.68766,0.68778,188,0
2020.06.29 10:45,0.68778,0.68805,0.68740,0.68740,218,0
2020.06.29 10:50,0.68740,0.68781,0.68737,0.68770,226,0
2020.06.29 10:55,0.68770,0.68781,0.68746,0.68764,169,0
2020.06.29 11:00,0.68767,0.68770,0.68724,0.68730,238,0
2020.06.29 11:05,0.68730,0.68751,0.68699,0.68708,254,0
2020.06.29 11:10,0.68709,0.68725,0.68675,0.68709,248,0
2020.06.29 11:15,0.68709,0.68710,0.68655,0.68659,157,0
2020.06.29 11:20,0.68659,0.68709,0.68656,0.68697,233,0
2020.06.29 11:25,0.68697,0.68715,0.68675,0.68688,203,0
2020.06.29 11:30,0.68688,0.68689,0.68645,0.68651,146,0
2020.06.29 11:35,0.68651,0.68670,0.68647,0.68651,175,0
2020.06.29 11:40,0.68651,0.68701,0.68651,0.68697,203,0
2020.06.29 11:45,0.68698,0.68716,0.68686,0.68707,198,0
2020.06.29 11:50,0.68707,0.68725,0.68697,0.68718,109,0
2020.06.29 11:55,0.68719,0.68740,0.68705,0.68737,122,0
2020.06.29 12:00,0.68737,0.68739,0.68717,0.68730,154,0
2020.06.29 12:05,0.68732,0.68737,0.68664,0.68687,143,0
2020.06.29 12:10,0.68688,0.68704,0.68674,0.68687,145,0
2020.06.29 12:15,0.68687,0.68720,0.68677,0.68720,85,0
2020.06.29 12:20,0.68719,0.68730,0.68715,0.68722,103,0
2020.06.29 12:25,0.68722,0.68727,0.68707,0.68707,108,0
2020.06.29 12:30,0.68709,0.68731,0.68660,0.68727,241,0
2020.06.29 12:35,0.68725,0.68769,0.68724,0.68760,112,0
2020.06.29 12:40,0.68760,0.68791,0.68760,0.68775,152,0
2020.06.29 12:45,0.68775,0.68802,0.68768,0.68798,171,0
2020.06.29 12:50,0.68798,0.68801,0.68766,0.68768,123,0
2020.06.29 12:55,0.68768,0.68778,0.68739,0.68771,162,0
2020.06.29 13:00,0.68775,0.68805,0.68736,0.68745,303,0
2020.06.29 13:05,0.68745,0.68785,0.68745,0.68785,181,0
2020.06.29 13:10,0.68785,0.68797,0.68756,0.68778,118,0
2020.06.29 13:15,0.68778,0.68787,0.68754,0.68786,135,0
2020.06.29 13:20,0.68786,0.68794,0.68775,0.68786,133,0
2020.06.29 13:25,0.68784,0.68814,0.68780,0.68810,135,0
2020.06.29 13:30,0.68810,0.68814,0.68760,0.68761,141,0
2020.06.29 13:35,0.68761,0.68769,0.68711,0.68716,170,0
2020.06.29 13:40,0.68718,0.68757,0.68718,0.68745,146,0
2020.06.29 13:45,0.68745,0.68795,0.68745,0.68784,143,0
2020.06.29 13:50,0.68784,0.68815,0.68778,0.68798,182,0
2020.06.29 13:55,0.68800,0.68814,0.68788,0.68814,163,0
2020.06.29 14:00,0.68817,0.68820,0.68769,0.68777,176,0
2020.06.29 14:05,0.68777,0.68780,0.68752,0.68755,156,0
2020.06.29 14:10,0.68755,0.68768,0.68749,0.68759,99,0
2020.06.29 14:15,0.68759,0.68761,0.68729,0.68740,147,0
2020.06.29 14:20,0.68740,0.68780,0.68737,0.68778,152,0
2020.06.29 14:25,0.68778,0.68789,0.68769,0.68784,133,0
2020.06.29 14:30,0.68784,0.68788,0.68758,0.68759,112,0
2020.06.29 14:35,0.68760,0.68775,0.68746,0.68748,103,0
2020.06.29 14:40,0.68748,0.68770,0.68738,0.68758,121,0
2020.06.29 14:45,0.68758,0.68764,0.68736,0.68738,95,0
2020.06.29 14:50,0.68737,0.68786,0.68727,0.68778,151,0
2020.06.29 14:55,0.68778,0.68807,0.68771,0.68771,128,0
2020.06.29 15:00,0.68771,0.68799,0.68771,0.68795,156,0
2020.06.29 15:05,0.68795,0.68808,0.68785,0.68808,126,0
2020.06.29 15:10,0.68808,0.68818,0.68757,0.68771,189,0
2020.06.29 15:15,0.68771,0.68796,0.68762,0.68781,104,0
2020.06.29 15:20,0.68778,0.68781,0.68688,0.68696,141,0
2020.06.29 15:25,0.68697,0.68704,0.68672,0.68696,126,0
2020.06.29 15:30,0.68696,0.68699,0.68672,0.68672,116,0
2020.06.29 15:35,0.68672,0.68680,0.68625,0.68643,123,0
2020.06.29 15:40,0.68643,0.68660,0.68610,0.68660,96,0
2020.06.29 15:45,0.68660,0.68702,0.68660,0.68701,92,0
2020.06.29 15:50,0.68701,0.68718,0.68690,0.68690,77,0
2020.06.29 15:55,0.68690,0.68690,0.68668,0.68681,128,0
2020.06.29 16:00,0.68680,0.68697,0.68650,0.68651,155,0
2020.06.29 16:05,0.68651,0.68654,0.68621,0.68646,155,0
2020.06.29 16:10,0.68646,0.68659,0.68618,0.68639,131,0
2020.06.29 16:15,0.68639,0.68639,0.68608,0.68609,82,0
2020.06.29 16:20,0.68609,0.68622,0.68589,0.68618,151,0
2020.06.29 16:25,0.68619,0.68620,0.68588,0.68604,162,0
2020.06.29 16:30,0.68605,0.68617,0.68547,0.68550,316,0
2020.06.29 16:35,0.68550,0.68561,0.68530,0.68542,271,0
2020.06.29 16:40,0.68541,0.68549,0.68510,0.68524,297,0
2020.06.29 16:45,0.68524,0.68535,0.68500,0.68507,313,0
2020.06.29 16:50,0.68508,0.68527,0.68470,0.68521,321,0
2020.06.29 16:55,0.68519,0.68548,0.68509,0.68548,181,0
2020.06.29 17:00,0.68548,0.68554,0.68494,0.68502,260,0
2020.06.29 17:05,0.68500,0.68504,0.68430,0.68444,247,0
2020.06.29 17:10,0.68445,0.68521,0.68414,0.68508,220,0
2020.06.29 17:15,0.68507,0.68539,0.68477,0.68490,237,0
2020.06.29 17:20,0.68490,0.68501,0.68448,0.68486,197,0
2020.06.29 17:25,0.68486,0.68519,0.68477,0.68509,252,0
2020.06.29 17:30,0.68508,0.68529,0.68451,0.68459,252,0
2020.06.29 17:35,0.68459,0.68541,0.68425,0.68537,287,0
2020.06.29 17:40,0.68539,0.68579,0.68530,0.68577,344,0
2020.06.29 17:45,0.68577,0.68585,0.68537,0.68560,281,0
2020.06.29 17:50,0.68560,0.68578,0.68523,0.68542,299,0
2020.06.29 17:55,0.68542,0.68545,0.68475,0.68517,348,0
2020.06.29 18:00,0.68519,0.68542,0.68509,0.68526,264,0
2020.06.29 18:05,0.68526,0.68526,0.68471,0.68507,235,0
2020.06.29 18:10,0.68507,0.68507,0.68456,0.68460,238,0
2020.06.29 18:15,0.68459,0.68479,0.68448,0.68478,256,0
2020.06.29 18:20,0.68478,0.68514,0.68467,0.68506,179,0
2020.06.29 18:25,0.68506,0.68528,0.68505,0.68507,233,0
2020.06.29 18:30,0.68508,0.68529,0.68500,0.68508,215,0
2020.06.29 18:35,0.68508,0.68518,0.68492,0.68508,177,0
2020.06.29 18:40,0.68508,0.68524,0.68499,0.68521,168,0
2020.06.29 18:45,0.68519,0.68537,0.68499,0.68528,219,0
2020.06.29 18:50,0.68528,0.68529,0.68508,0.68508,163,0
2020.06.29 18:55,0.68505,0.68516,0.68462,0.68496,247,0
2020.06.29 19:00,0.68496,0.68527,0.68493,0.68515,165,0
2020.06.29 19:05,0.68515,0.68522,0.68492,0.68506,142,0
2020.06.29 19:10,0.68506,0.68518,0.68498,0.68514,128,0
2020.06.29 19:15,0.68514,0.68577,0.68511,0.68577,157,0
2020.06.29 19:20,0.68580,0.68597,0.68557,0.68559,157,0
2020.06.29 19:25,0.68559,0.68575,0.68554,0.68564,149,0
2020.06.29 19:30,0.68564,0.68568,0.68547,0.68561,154,0
2020.06.29 19:35,0.68560,0.68596,0.68559,0.68586,144,0
2020.06.29 19:40,0.68585,0.68586,0.68536,0.68555,135,0
2020.06.29 19:45,0.68555,0.68589,0.68536,0.68575,105,0
2020.06.29 19:50,0.68579,0.68580,0.68551,0.68558,132,0
2020.06.29 19:55,0.68558,0.68564,0.68517,0.68526,185,0
2020.06.29 20:00,0.68526,0.68529,0.68504,0.68516,109,0
2020.06.29 20:05,0.68516,0.68522,0.68489,0.68494,143,0
2020.06.29 20:10,0.68495,0.68522,0.68490,0.68516,121,0
2020.06.29 20:15,0.68512,0.68529,0.68509,0.68516,120,0
2020.06.29 20:20,0.68516,0.68545,0.68510,0.68540,102,0
2020.06.29 20:25,0.68540,0.68559,0.68538,0.68559,88,0
2020.06.29 20:30,0.68559,0.68566,0.68536,0.68544,122,0
2020.06.29 20:35,0.68544,0.68565,0.68535,0.68560,136,0
2020.06.29 20:40,0.68560,0.68562,0.68540,0.68548,130,0
2020.06.29 20:45,0.68548,0.68551,0.68540,0.68549,110,0
2020.06.29 20:50,0.68548,0.68549,0.68529,0.68535,52,0
2020.06.29 20:55,0.68535,0.68538,0.68527,0.68535,99,0
2020.06.29 21:00,0.68536,0.68575,0.68533,0.68559,158,0
2020.06.29 21:05,0.68560,0.68566,0.68536,0.68560,101,0
2020.06.29 21:10,0.68560,0.68585,0.68559,0.68584,59,0
2020.06.29 21:15,0.68581,0.68592,0.68574,0.68587,77,0
2020.06.29 21:20,0.68587,0.68587,0.68559,0.68569,93,0
2020.06.29 21:25,0.68569,0.68580,0.68558,0.68558,58,0
2020.06.29 21:30,0.68558,0.68570,0.68546,0.68554,92,0
2020.06.29 21:35,0.68555,0.68560,0.68547,0.68547,64,0
2020.06.29 21:40,0.68547,0.68578,0.68547,0.68568,100,0
2020.06.29 21:45,0.68568,0.68576,0.68548,0.68557,123,0
2020.06.29 21:50,0.68557,0.68577,0.68548,0.68565,95,0
2020.06.29 21:55,0.68566,0.68605,0.68558,0.68594,141,0
2020.06.29 22:00,0.68595,0.68595,0.68549,0.68559,204,0
2020.06.29 22:05,0.68559,0.68574,0.68559,0.68559,141,0
2020.06.29 22:10,0.68559,0.68575,0.68552,0.68569,78,0
2020.06.29 22:15,0.68568,0.68592,0.68566,0.68590,120,0
2020.06.29 22:20,0.68590,0.68605,0.68588,0.68600,182,0
2020.06.29 22:25,0.68598,0.68604,0.68584,0.68588,127,0
2020.06.29 22:30,0.68587,0.68607,0.68585,0.68605,171,0
2020.06.29 22:35,0.68605,0.68606,0.68593,0.68599,43,0
2020.06.29 22:40,0.68599,0.68600,0.68577,0.68588,134,0
2020.06.29 22:45,0.68588,0.68604,0.68577,0.68585,160,0
2020.06.29 22:50,0.68585,0.68608,0.68584,0.68599,211,0
2020.06.29 22:55,0.68599,0.68636,0.68599,0.68635,227,0
2020.06.29 23:00,0.68637,0.68656,0.68628,0.68628,153,0
2020.06.29 23:05,0.68628,0.68659,0.68628,0.68652,73,0
2020.06.29 23:10,0.68652,0.68657,0.68644,0.68649,83,0
2020.06.29 23:15,0.68649,0.68649,0.68644,0.68646,25,0
2020.06.29 23:20,0.68646,0.68670,0.68646,0.68665,36,0
2020.06.29 23:25,0.68665,0.68677,0.68665,0.68675,18,0
2020.06.29 23:30,0.68675,0.68675,0.68648,0.68658,70,0
2020.06.29 23:35,0.68658,0.68668,0.68647,0.68647,50,0
2020.06.29 23:40,0.68647,0.68675,0.68647,0.68665,49,0
2020.06.29 23:45,0.68665,0.68678,0.68661,0.68677,89,0
2020.06.29 23:50,0.68676,0.68680,0.68673,0.68677,69,0
2020.06.29 23:55,0.68677,0.68679,0.68629,0.68629,103,0
2020.06.30 00:00,0.68648,0.68651,0.68572,0.68649,34,0
2020.06.30 00:05,0.68649,0.68649,0.68604,0.68619,74,0
2020.06.30 00:10,0.68620,0.68656,0.68620,0.68649,62,0
2020.06.30 00:15,0.68654,0.68655,0.68616,0.68641,75,0
2020.06.30 00:20,0.68641,0.68641,0.68615,0.68630,41,0
2020.06.30 00:25,0.68622,0.68634,0.68605,0.68609,60,0
2020.06.30 00:30,0.68609,0.68647,0.68604,0.68604,61,0
2020.06.30 00:35,0.68604,0.68614,0.68588,0.68604,53,0
2020.06.30 00:40,0.68604,0.68612,0.68591,0.68610,33,0
2020.06.30 00:45,0.68610,0.68610,0.68596,0.68601,25,0
2020.06.30 00:50,0.68594,0.68652,0.68589,0.68650,60,0
2020.06.30 00:55,0.68644,0.68667,0.68639,0.68666,33,0
2020.06.30 01:00,0.68667,0.68669,0.68642,0.68660,132,0
2020.06.30 01:05,0.68660,0.68679,0.68660,0.68677,72,0
2020.06.30 01:10,0.68685,0.68696,0.68676,0.68686,78,0
2020.06.30 01:15,0.68686,0.68710,0.68675,0.68708,61,0
2020.06.30 01:20,0.68708,0.68725,0.68701,0.68716,41,0
2020.06.30 01:25,0.68717,0.68725,0.68705,0.68706,36,0
2020.06.30 01:30,0.68706,0.68726,0.68700,0.68716,103,0
2020.06.30 01:35,0.68716,0.68741,0.68710,0.68735,56,0
2020.06.30 01:40,0.68736,0.68748,0.68725,0.68725,66,0
2020.06.30 01:45,0.68725,0.68734,0.68725,0.68726,38,0
2020.06.30 01:50,0.68726,0.68737,0.68725,0.68725,57,0
2020.06.30 01:55,0.68725,0.68730,0.68725,0.68728,28,0
